image,F1,time,method,type
2023_12_14_image_041,0.8985284603315548,25.0046485640014,watershed,cytoplasm
2023_12_14_image_040,0.8377642576687439,25.454719211000338,watershed,cytoplasm
2023_12_14_image_043,0.8246921632261766,26.84410208999907,watershed,cytoplasm
2023_12_14_image_005,0.8018024920306881,27.383406116001424,watershed,cytoplasm
2023_12_14_image_029,0.8696732647592704,27.39578378999795,watershed,cytoplasm
2023_12_14_image_027,0.9466697836695244,27.780439193000348,watershed,cytoplasm
2023_12_14_image_039,0.855328503288569,27.22493762600061,watershed,cytoplasm
2023_12_14_image_037,0.8492231721659503,27.892085068997403,watershed,cytoplasm
2023_12_14_image_045,0.7975326564984271,28.208414845001244,watershed,cytoplasm
2023_12_14_image_000,0.8937809244663769,28.86501412600046,watershed,cytoplasm
2023_12_14_image_015,0.8842298645544389,29.784028046000458,watershed,cytoplasm
2023_12_14_image_017,0.8747524733024776,28.578005404997384,watershed,cytoplasm
2023_12_14_image_003,0.7846059348782143,29.901288658998965,watershed,cytoplasm
2023_12_14_image_022,0.8801518949543844,31.18225403500037,watershed,cytoplasm
2023_12_14_image_044,0.9398729493919226,27.727002195999376,watershed,cytoplasm
2023_12_14_image_002,0.8743775816772619,30.943514636001055,watershed,cytoplasm
2023_12_14_image_036,0.8627313850755808,32.00165410400223,watershed,cytoplasm
2023_12_14_image_009,0.8841604523059273,27.710973883000406,watershed,cytoplasm
2023_12_14_image_047,0.8768086474564994,28.19409270200049,watershed,cytoplasm
2023_12_14_image_018,0.879311089981848,29.498460446000536,watershed,cytoplasm
2023_12_14_image_032,0.7925159844621337,27.385379781000665,watershed,cytoplasm
2023_12_14_image_004,0.8903882371122409,27.51679100399997,watershed,cytoplasm
2023_12_14_image_019,0.898737024493356,28.065096123998956,watershed,cytoplasm
2023_12_14_image_010,0.8946141988647823,27.17334361900066,watershed,cytoplasm
2023_12_14_image_013,0.8354251958604106,27.779451207999955,watershed,cytoplasm
2023_12_14_image_011,0.8454608318468635,30.940420705999713,watershed,cytoplasm
2023_12_14_image_049,0.8747190768432881,26.822755590997986,watershed,cytoplasm
2023_12_14_image_006,0.7868143575961883,27.326901799999177,watershed,cytoplasm
2023_12_14_image_030,0.9278505514999594,27.992043730999285,watershed,cytoplasm
2023_12_14_image_028,0.8349874403120146,29.125722455999494,watershed,cytoplasm
2023_12_14_image_012,0.8541625739633346,27.735922551997646,watershed,cytoplasm
2023_12_14_image_042,0.8451154076856384,27.498700049000036,watershed,cytoplasm
2023_12_14_image_025,0.9304967297663296,27.806147670999053,watershed,cytoplasm
2023_12_14_image_023,0.8874215183209047,27.21014342199851,watershed,cytoplasm
2023_12_14_image_038,0.8817712958088099,27.054993959998683,watershed,cytoplasm
2023_12_14_image_048,0.8629556652181771,27.773410855999828,watershed,cytoplasm
2023_12_14_image_046,0.8847344130212139,27.649667371999385,watershed,cytoplasm
2023_12_14_image_021,0.8248879581535818,27.39913655300188,watershed,cytoplasm
2023_12_14_image_001,0.8972783850258135,27.440097329999844,watershed,cytoplasm
2023_12_14_image_020,0.7684600565251443,27.488625693997164,watershed,cytoplasm
2023_12_14_image_016,0.8573912257679221,27.919118233003246,watershed,cytoplasm
2023_12_14_image_014,0.8816809289192382,29.519336517001648,watershed,cytoplasm
2023_12_14_image_035,0.8625319885692433,30.463755754997692,watershed,cytoplasm
2023_12_14_image_031,0.8529341081311865,27.695562343997153,watershed,cytoplasm
2023_12_14_image_026,0.9598430497384599,27.790247884000564,watershed,cytoplasm
2023_12_14_image_008,0.8960721834997918,28.730673130001378,watershed,cytoplasm
2023_12_14_image_024,0.9164993569544525,28.01373104999948,watershed,cytoplasm
2023_12_14_image_007,0.8538178046346427,27.75427492500239,watershed,cytoplasm
2023_12_14_image_034,0.8111980292160083,27.608648907000315,watershed,cytoplasm
2023_12_14_image_033,0.8567720816078496,27.74916195499827,watershed,cytoplasm
