image,F1,time,method,type
2023_12_14_image_007,0.8636812873230418,0,SVM,cytoplasm
2023_12_14_image_047,0.8509266720386784,0,SVM,cytoplasm
2023_12_14_image_025,0.8649329083750703,0,SVM,cytoplasm
2023_12_14_image_033,0.8473830355739509,0,SVM,cytoplasm
2023_12_14_image_021,0.826123068891051,0,SVM,cytoplasm
2023_12_14_image_001,0.8176730891747164,0,SVM,cytoplasm
2023_12_14_image_037,0.8067286231290115,0,SVM,cytoplasm
2023_12_14_image_006,0.8474930362116991,0,SVM,cytoplasm
2023_12_14_image_012,0.844423497150692,0,SVM,cytoplasm
2023_12_14_image_048,0.8761535455556557,0,SVM,cytoplasm
2023_12_14_image_005,0.8658234257803846,0,SVM,cytoplasm
2023_12_14_image_023,0.6699517781796263,0,SVM,cytoplasm
2023_12_14_image_022,0.6176656317423564,0,SVM,cytoplasm
2023_12_14_image_049,0.8791636051922606,0,SVM,cytoplasm
2023_12_14_image_045,0.831207210757031,0,SVM,cytoplasm
2023_12_14_image_018,0.8659690078486617,0,SVM,cytoplasm
2023_12_14_image_009,0.8436515579349405,0,SVM,cytoplasm
2023_12_14_image_000,0.8227387981630229,0,SVM,cytoplasm
2023_12_14_image_034,0.8434760130113527,0,SVM,cytoplasm
2023_12_14_image_044,0.7831307308622801,0,SVM,cytoplasm
2023_12_14_image_015,0.8603007992878734,0,SVM,cytoplasm
2023_12_14_image_035,0.8908379588435519,0,SVM,cytoplasm
2023_12_14_image_014,0.8636189906442661,0,SVM,cytoplasm
2023_12_14_image_024,0.8896325901670921,0,SVM,cytoplasm
2023_12_14_image_017,0.850010103993409,0,SVM,cytoplasm
2023_12_14_image_011,0.8509862564978993,0,SVM,cytoplasm
2023_12_14_image_030,0.8617380530113457,0,SVM,cytoplasm
2023_12_14_image_039,0.8780459836018577,0,SVM,cytoplasm
2023_12_14_image_004,0.8813801223841721,0,SVM,cytoplasm
2023_12_14_image_036,0.8597110466333643,0,SVM,cytoplasm
2023_12_14_image_029,0.8553323694976775,0,SVM,cytoplasm
2023_12_14_image_027,0.7746591263921174,0,SVM,cytoplasm
2023_12_14_image_003,0.8655487027881136,0,SVM,cytoplasm
2023_12_14_image_020,0.7850344305440387,0,SVM,cytoplasm
2023_12_14_image_031,0.8820091792810514,0,SVM,cytoplasm
2023_12_14_image_013,0.8698096459216885,0,SVM,cytoplasm
2023_12_14_image_032,0.8629280124119917,0,SVM,cytoplasm
2023_12_14_image_040,0.8586727284207868,0,SVM,cytoplasm
2023_12_14_image_008,0.8496019641395729,0,SVM,cytoplasm
2023_12_14_image_046,0.8223075516547815,0,SVM,cytoplasm
2023_12_14_image_043,0.8748335235920852,0,SVM,cytoplasm
2023_12_14_image_010,0.8334815043871516,0,SVM,cytoplasm
2023_12_14_image_019,0.8341992665036675,0,SVM,cytoplasm
2023_12_14_image_041,0.8330906133565336,0,SVM,cytoplasm
2023_12_14_image_038,0.8451381401021689,0,SVM,cytoplasm
2023_12_14_image_002,0.8641623980269398,0,SVM,cytoplasm
2023_12_14_image_042,0.8283099965720011,0,SVM,cytoplasm
2023_12_14_image_028,0.8781484002722941,0,SVM,cytoplasm
2023_12_14_image_016,0.8510093015542791,0,SVM,cytoplasm
2023_12_14_image_007,0.8476897344762702,0,SVM,nucleus
2023_12_14_image_047,0.8148056907064113,0,SVM,nucleus
2023_12_14_image_025,0.7559851635382713,0,SVM,nucleus
2023_12_14_image_033,0.8631417624521073,0,SVM,nucleus
2023_12_14_image_021,0.8079837368323785,0,SVM,nucleus
2023_12_14_image_001,0.7849162011173184,0,SVM,nucleus
2023_12_14_image_037,0.8629085909433628,0,SVM,nucleus
2023_12_14_image_006,0.8737494832575444,0,SVM,nucleus
2023_12_14_image_012,0.8683339043051274,0,SVM,nucleus
2023_12_14_image_048,0.8584889399597817,0,SVM,nucleus
2023_12_14_image_005,0.8486546586613298,0,SVM,nucleus
2023_12_14_image_023,0.5728432509590508,0,SVM,nucleus
2023_12_14_image_022,0.45389823410344105,0,SVM,nucleus
2023_12_14_image_049,0.8615419970125244,0,SVM,nucleus
2023_12_14_image_045,0.8135606235122476,0,SVM,nucleus
2023_12_14_image_018,0.8834382699151383,0,SVM,nucleus
2023_12_14_image_009,0.8321357050300389,0,SVM,nucleus
2023_12_14_image_000,0.8205648570945374,0,SVM,nucleus
2023_12_14_image_034,0.8898931799506984,0,SVM,nucleus
2023_12_14_image_044,0.7945984363894811,0,SVM,nucleus
2023_12_14_image_015,0.784486657620986,0,SVM,nucleus
2023_12_14_image_035,0.8808777429467085,0,SVM,nucleus
2023_12_14_image_014,0.8549385955704839,0,SVM,nucleus
2023_12_14_image_024,0.823235578472446,0,SVM,nucleus
2023_12_14_image_017,0.8384329425221618,0,SVM,nucleus
2023_12_14_image_011,0.8406428998888604,0,SVM,nucleus
2023_12_14_image_030,0.8322981366459627,0,SVM,nucleus
2023_12_14_image_039,0.8168964141660388,0,SVM,nucleus
2023_12_14_image_004,0.7913572814235066,0,SVM,nucleus
2023_12_14_image_036,0.872271624898949,0,SVM,nucleus
2023_12_14_image_029,0.8820449645826918,0,SVM,nucleus
2023_12_14_image_027,0.6382036685641999,0,SVM,nucleus
2023_12_14_image_003,0.8275814845247877,0,SVM,nucleus
2023_12_14_image_020,0.7059711084411411,0,SVM,nucleus
2023_12_14_image_031,0.8693861917073638,0,SVM,nucleus
2023_12_14_image_013,0.8413529865594672,0,SVM,nucleus
2023_12_14_image_032,0.8775853852263701,0,SVM,nucleus
2023_12_14_image_040,0.8559385537654552,0,SVM,nucleus
2023_12_14_image_008,0.8564514074640174,0,SVM,nucleus
2023_12_14_image_046,0.867482895210659,0,SVM,nucleus
2023_12_14_image_043,0.7835043879220586,0,SVM,nucleus
2023_12_14_image_010,0.8321871585577479,0,SVM,nucleus
2023_12_14_image_019,0.8293269230769231,0,SVM,nucleus
2023_12_14_image_041,0.8431445326998738,0,SVM,nucleus
2023_12_14_image_038,0.8615705169944003,0,SVM,nucleus
2023_12_14_image_002,0.8108581436077058,0,SVM,nucleus
2023_12_14_image_042,0.7566482197952887,0,SVM,nucleus
2023_12_14_image_028,0.8923679060665362,0,SVM,nucleus
2023_12_14_image_016,0.8821348246307216,0,SVM,nucleus
