Cell id,Area,Perimeter,Convex hull area,Convex hull perimeter,Major axis vector,Major axis angle (rad),Major axis length,Minor axis length,Centroids,Fibre length
1,551,106,609,106,"(28 , -17)",-0.5456550545269917,32.0,26.0,"(2042.0 , 42.0)",14.201626123751156
2,6236,498,7914,418,"(96 , 55)",0.5202671900100465,110.0,82.0,"(2025.0 , 129.0)",28.24902597895438
3,484,94,520,94,"(25 , -15)",-0.5404195002705842,29.0,25.0,"(1476.0 , 158.0)",15.238644179070848
4,1310,180,1471,176,"(23 , -49)",-1.13193702783139,54.0,36.0,"(585.0 , 211.0)",18.260516085758123
5,1093,170,1278,170,"(18 , -50)",-1.2252407462131845,53.0,33.0,"(1113.0 , 233.0)",15.793259277852716
6,1320,184,1459,184,"(27 , 48)",1.0584068664841588,55.0,40.0,"(1817.0 , 285.0)",17.78652804066823
7,1172,184,1307,184,"(42 , -48)",-0.851966327173272,63.0,25.0,"(1126.0 , 287.0)",15.275417008525569
8,2219,256,2741,254,"(64 , -17)",-0.2596296294082575,66.0,56.0,"(1087.0 , 303.0)",20.675641955131063
9,3520,392,4853,320,"(90 , -36)",-0.3805063771123649,96.0,74.0,"(1732.0 , 317.0)",20.0
10,1216,158,1307,158,"(22 , 41)",1.0783105609229715,46.0,35.0,"(481.0 , 309.0)",20.946024684720527
11,1019,156,1105,156,"(28 , -38)",-0.9357695914045828,47.0,28.0,"(817.0 , 313.0)",16.59464349759192
12,1731,231,2251,216,"(55 , 43)",0.6635557263775311,69.0,47.0,"(1202.0 , 334.0)",17.699250943334405
13,1113,214,1403,214,"(62 , -36)",-0.5260664189967635,71.0,20.0,"(1135.0 , 336.0)",11.675963848523658
14,2818,242,3048,242,"(43 , 51)",0.8702999568471703,66.0,63.0,"(984.0 , 368.0)",31.4784562781371
15,1813,190,1920,190,"(26 , 50)",1.0912770348023004,56.0,43.0,"(1670.0 , 367.0)",26.4464967285727
16,4929,620,8101,574,"(206 , -74)",-0.34486782278093514,218.0,54.0,"(1277.0 , 393.0)",16.811722639002397
17,2091,308,3103,272,"(36 , -69)",-1.089909046599561,77.0,46.0,"(636.0 , 399.0)",15.048405993065842
18,1624,258,2356,256,"(71 , 55)",0.659090046334208,89.0,31.0,"(1151.0 , 424.0)",14.138804621017982
19,2333,258,2770,234,"(30 , -61)",-1.113727570247107,67.0,48.0,"(1083.0 , 430.0)",21.753655127016998
20,1342,160,1399,160,"(33 , -30)",-0.7378150601204649,44.0,42.0,"(1939.0 , 420.0)",23.93762159579099
21,2129,293,2638,294,"(103 , -42)",-0.38718407418132267,111.0,24.0,"(1431.0 , 437.0)",16.359205489815842
22,991,150,1167,156,"(32 , -34)",-0.8156919233162234,46.0,36.0,"(1692.0 , 432.0)",17.122316127685167
23,1135,192,1559,180,"(20 , -52)",-1.2036224929766774,55.0,26.0,"(2029.0 , 446.0)",13.809358005442483
24,1539,184,1706,184,"(28 , -50)",-1.0603080048781208,57.0,41.0,"(1991.0 , 452.0)",21.979175701071373
25,1172,208,1292,208,"(75 , -27)",-0.34555558058171215,79.0,17.0,"(1522.0 , 455.0)",12.85922841843815
26,1792,196,1895,196,"(54 , 19)",0.3383236225092596,57.0,44.0,"(1588.0 , 460.0)",24.322074641493867
27,1807,224,2157,206,"(61 , 8)",0.1304033078891334,61.0,43.0,"(1688.0 , 472.0)",19.54454773288363
28,1760,272,2545,228,"(17 , 75)",1.3478960944665208,76.0,40.0,"(1174.0 , 492.0)",14.483647358961392
29,1853,206,2040,206,"(8 , -56)",-1.4288992721907328,56.0,48.0,"(1779.0 , 485.0)",23.228990113545642
30,1334,190,1521,182,"(8 , -58)",-1.433730152484709,58.0,31.0,"(1643.0 , 490.0)",17.13143072187957
31,4937,420,6465,386,"(53 , 95)",1.0619121100149225,108.0,71.0,"(1882.0 , 518.0)",26.97436318747536
32,1374,212,1743,206,"(27 , -66)",-1.1824776086224307,71.0,26.0,"(1944.0 , 495.0)",15.118606150248375
33,1244,156,1310,156,"(18 , -43)",-1.1743550435764554,46.0,38.0,"(1034.0 , 487.0)",22.35668302290676
34,1662,178,1717,178,"(32 , 38)",0.870903457075653,49.0,45.0,"(1128.0 , 488.0)",26.660437225088728
35,851,147,1024,146,"(20 , -45)",-1.1525719972156676,49.0,29.0,"(1721.0 , 513.0)",14.399105163327352
36,1085,146,1123,146,"(22 , -36)",-1.0222469243443686,42.0,35.0,"(1675.0 , 533.0)",20.775814806483613
37,551,108,600,108,"(33 , 7)",0.20902294280626463,33.0,22.0,"(1131.0 , 536.0)",13.658335935873666
38,2836,308,3341,300,"(102 , -31)",-0.2950506693913765,106.0,39.0,"(1781.0 , 559.0)",21.385253754062674
39,1011,154,1116,154,"(41 , -24)",-0.5295895987820763,47.0,28.0,"(1969.0 , 558.0)",16.79170665390759
40,1221,154,1262,154,"(24 , 34)",0.9561333748727311,41.0,40.0,"(1934.0 , 571.0)",22.336770124755386
41,919,151,1044,151,"(44 , -18)",-0.388318718172466,47.0,31.0,"(2033.0 , 568.0)",15.254167052540598
42,1420,166,1466,166,"(23 , 41)",1.059565614517107,47.0,40.0,"(1698.0 , 576.0)",24.11466134928629
43,1076,140,1119,140,"(23 , 32)",0.9475969968608307,39.0,37.0,"(976.0 , 590.0)",22.793444384266298
44,1003,184,1251,178,"(9 , 66)",1.4352686128093959,66.0,24.0,"(2061.0 , 609.0)",12.638345364775446
45,1326,166,1396,166,"(51 , -15)",-0.2860514417173182,53.0,32.0,"(1757.0 , 592.0)",21.59397076260562
46,841,154,1040,152,"(31 , 43)",0.946160904023283,53.0,23.0,"(1838.0 , 603.0)",13.177085475798801
47,1785,186,1860,186,"(30 , 43)",0.9616328611341242,52.0,46.0,"(1968.0 , 607.0)",27.07707540044497
48,1094,146,1142,146,"(27 , -35)",-0.9137213910832431,44.0,34.0,"(1893.0 , 606.0)",21.06465095956687
49,1004,184,1450,180,"(27 , -56)",-1.121536214183016,62.0,29.0,"(2012.0 , 617.0)",12.65333599893387
50,290,72,305,72,"(13 , 18)",0.9453112865556675,22.0,17.0,"(589.0 , 598.0)",12.1690481051547
51,2486,326,3253,280,"(42 , -88)",-1.125495282907211,97.0,42.0,"(1665.0 , 639.0)",17.03101520886186
52,704,128,799,128,"(31 , 19)",0.549853182676585,36.0,33.0,"(1801.0 , 614.0)",14.111456180001682
53,3463,272,3677,270,"(83 , 20)",0.23645614219991717,85.0,53.0,"(1495.0 , 645.0)",33.92654992519836
54,1140,150,1190,150,"(39 , -14)",-0.3446473156180262,41.0,36.0,"(975.0 , 640.0)",21.18283112791928
55,1483,176,1592,176,"(30 , -41)",-0.9391056924559273,50.0,41.0,"(1947.0 , 657.0)",22.716203346207237
56,315,74,328,74,"(13 , -19)",-0.9707461133931431,23.0,19.0,"(1380.0 , 681.0)",13.279846745544724
57,2375,246,2666,242,"(76 , -20)",-0.25732371497108864,78.0,42.0,"(956.0 , 694.0)",23.986669036194613
58,1646,184,1748,184,"(29 , 45)",0.9983365129768454,53.0,42.0,"(1464.0 , 728.0)",24.3205166113212
59,2260,232,2469,224,"(33 , 70)",1.1302659861783835,77.0,42.0,"(1697.0 , 783.0)",24.7735045483277
60,967,140,1010,140,"(37 , 8)",0.21293834957939717,37.0,32.0,"(854.0 , 779.0)",18.93762159579099
61,2105,337,3812,290,"(65 , 61)",0.7536627898689904,89.0,54.0,"(1725.0 , 806.0)",13.588394442243242
62,1914,262,2550,240,"(51 , 50)",0.7754974968094597,71.0,40.0,"(899.0 , 823.0)",16.75320523357459
63,451,90,466,90,"(24 , 14)",0.5280744484263598,27.0,21.0,"(977.0 , 803.0)",15.066965626340746
64,2698,292,3462,282,"(83 , 26)",0.3035707393236639,86.0,47.0,"(1542.0 , 839.0)",21.70672558707136
65,702,116,721,116,"(11 , -31)",-1.2298173732985473,32.0,29.0,"(1996.0 , 857.0)",17.210173877448405
66,2081,232,2418,216,"(34 , 53)",1.0004130451449549,62.0,56.0,"(1997.0 , 895.0)",22.181010622855368
